job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,salary_raw,salary_disclosed,skills_required,job_description,posted_date_raw,work_mode,company_size_bucket,job_url,data_source,scraped_at,salary_min_lpa,salary_max_lpa,salary_midpoint_lpa,skills_list,primary_city,is_multi_city,posted_date
1,Data Scientist,Cisco,4.1,Bengaluru,Bangalore,Data Scientist,7-10 Yrs,Not Disclosed,False,"Computer science, Data analysis, data science, Supply chain operations, data visualization, Customer engagement, cisco, Analytics","Bachelor s degree in Statistics, Mathematics, Computer Science, Data Science, or a rela...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-cisco-bengaluru-7-to-10-years-270326504991,naukri.com,2025-06-10,,,,"['Computer Science', 'Data Analysis', 'Data Science', 'Supply Chain Operations', 'Data Visualization', 'Customer Engagement', 'Cisco', 'Analytics']",Bengaluru,False,2025-05-20
2,Data Scientist,Caterpillar Inc,4.1,Bengaluru,Bangalore,Data Scientist,4-8 Yrs,Not Disclosed,False,"Basic, Data management, Business analytics, Analytical, Machine learning, Programming, Data processing, data visualization","Requirements Analysis: Knowledge of tools, methods, and techniques of requirement analy...",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-caterpillar-brazil-bengaluru-4-to-8-years-010526502121,naukri.com,2025-06-10,,,,"['Basic', 'Data Management', 'Business Analytics', 'Analytical', 'Machine Learning', 'Programming', 'Data Processing', 'Data Visualization']",Bengaluru,False,2025-05-20
3,Analytics Data Scientist,Foreign IT Consulting MNC,3.6,"Hyderabad, Chennai, Bengaluru",Bangalore,Data Scientist,4-9 Yrs,Not Disclosed,False,Not Available,Not Available,Not Available,On-site,Large (1000+),,naukri.com,2025-06-10,,,,[],Hyderabad,True,
4,Data Scientist,Fortune 500 IT Services Company,3.6,"Mumbai, Bengaluru",Bangalore,Data Scientist,10-14 Yrs,Not Disclosed,False,Not Available,Not Available,Not Available,On-site,Small/Startup (<100),,naukri.com,2025-06-10,,,,[],Mumbai,True,
5,Sr. Artificial Intelligence Engineer,Fortune 500 Product-based MNC,3.6,"Pune, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,Not Disclosed,False,Not Available,Not Available,Not Available,On-site,Small/Startup (<100),,naukri.com,2025-06-10,,,,[],Pune,True,
6,Data Scientist,Top Rated IT Enterprise,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,3-8 Yrs,Not Disclosed,False,Not Available,Not Available,Not Available,On-site,Small/Startup (<100),,naukri.com,2025-06-10,,,,[],Chennai,True,
7,Data Scientist,Leading IT Firm,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,Not Disclosed,False,Not Available,Not Available,Not Available,On-site,Small/Startup (<100),,naukri.com,2025-06-10,,,,[],Chennai,True,
8,Advanced Data Scientist,Exxon Mobil Corporation,3.7,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,Not Disclosed,False,"Supply chain, data science, Aerospace, Machine learning, Agile, Monitoring, Analytics, Python","Experience with software engineering practices, agile methodologies and version control...",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-advanced-data-scientist-exxon-mobil-corporation-bengaluru-5-to-10-years-090426502372,naukri.com,2025-06-10,,,,"['Supply Chain', 'Data Science', 'Aerospace', 'Machine Learning', 'Agile', 'Monitoring', 'Analytics', 'Python']",Bengaluru,False,2025-05-20
9,"Data Scientist, Google Play, Product",Google,4.4,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,Not Disclosed,False,"Product management, Prototype, data science, Coding, Machine learning, Mathematics, Statistics, Analytics","Minimum qualifications: Bachelor's degree in Statistics, Mathematics, Data Science, E...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-google-play-product-google-india-private-limited-bengaluru-5-to-10-years-090725503329,naukri.com,2025-06-10,,,,"['Product Management', 'Prototype', 'Data Science', 'Coding', 'Machine Learning', 'Mathematics', 'Statistics', 'Analytics']",Bengaluru,False,2025-05-20
10,Machine Learning Data Scientist,Hsbc,3.8,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,Not Disclosed,False,"python, data analysis, data domain, vertex, data processing, google, anomaly detection, machine learning","Strong communication and collaboration skills, with the ability to work effectively in ...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-machine-learning-data-scientist-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-3-to-7-years-191225503735,naukri.com,2025-06-10,,,,"['Python', 'Data Analysis', 'Data Domain', 'Vertex', 'Data Processing', 'Google', 'Anomaly Detection', 'Machine Learning']",Bengaluru,False,2025-05-20
11,Sr Data Scientist - Advanced Machine Learning,Target,4.0,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,Not Disclosed,False,"Supply chain, Computer science, Business process, Data analysis, Machine learning, Network security, Data structures, Troubleshooting","Overview about TII: At Target, we have a timeless purpose and a proven strategy....",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-sr-data-scientist-advanced-machine-learning-target-corporation-india-pvt-ltd-bengaluru-4-to-9-years-100226503258,naukri.com,2025-06-10,,,,"['Supply Chain', 'Computer Science', 'Business Process', 'Data Analysis', 'Machine Learning', 'Network Security', 'Data Structures', 'Troubleshooting']",Bengaluru,False,2025-05-20
12,Data Scientist - Service Parts Supply Chain,Philips,3.8,Bengaluru,Bangalore,Data Scientist,10-15 Yrs,Not Disclosed,False,"Supply chain, Supply chain management, ERP, Performance management, Project management, Process improvement, Business analytics, Healthcare",Logistics operations . Materials management . Demand forecasting . Education Experience...,3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504,naukri.com,2025-06-10,,,,"['Supply Chain', 'Supply Chain Management', 'ERP', 'Performance Management', 'Project Management', 'Process Improvement', 'Business Analytics', 'Healthcare']",Bengaluru,False,2025-05-20
13,Data Scientist Cyber Threat Intelligence,A.P. Moller Maersk,3.9,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,Not Disclosed,False,"Automation, Relationship building, Data quality, Continuous improvement, Security operations, Forecasting, Operations, Auditing","Bachelor s degree in computer science, Engineering, Mathematics, Statistics, Data Scien...",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-cyber-threat-intelligence-maersk-global-service-centres-india-pvt-ltd-bengaluru-5-to-10-years-240226503494,naukri.com,2025-06-10,,,,"['Automation', 'Relationship Building', 'Data Quality', 'Continuous Improvement', 'Security Operations', 'Forecasting', 'Operations', 'Auditing']",Bengaluru,False,2025-05-20
14,Data Scientist,EXL,3.6,"Hybrid - Gurugram, Bengaluru",Bangalore,Data Scientist,5-8 Yrs,Not Disclosed,False,"Generative Ai, Artificial Intelligence, Python, SQL, Data Science, Data, Intelligence, Science",Role & responsibilities We are seeking a highly skilled and experienced Data Scientist...,6 days ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-exl-gurugram-bengaluru-5-to-8-years-031125016780,naukri.com,2025-06-10,,,,"['Generative Ai', 'Artificial Intelligence', 'Python', 'SQL', 'Data Science', 'Data', 'Intelligence', 'Science']",Gurugram,True,2025-06-04
15,Data Scientist,Maruti Suzuki,4.1,Bengaluru,Bangalore,Data Scientist,4-7 Yrs,Not Disclosed,False,"Cloud computing, Data analysis, Machine learning, Data processing, Telematics, Engineering Design, data visualization, Automotive",Essential : BE / BTech/ M Tech / MSc in any stream . Databricks Platform: Experience wi...,3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-maruti-suzuki-india-limited-bengaluru-4-to-7-years-211125502671,naukri.com,2025-06-10,,,,"['Cloud Computing', 'Data Analysis', 'Machine Learning', 'Data Processing', 'Telematics', 'Engineering Design', 'Data Visualization', 'Automotive']",Bengaluru,False,2025-05-20
16,"Staff Data Scientist, Ads Insights and Measurement",Google,4.4,Bengaluru,Bangalore,Data Scientist,8-13 Yrs,Not Disclosed,False,"Data analysis, Bidding, Coding, Analytical, Data structures, MATLAB, Analytics, Brand building","Masters degree in Statistics or Economics, a related field, or equivalent practical exp...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-staff-data-scientist-ads-insights-and-measurement-google-india-private-limited-bengaluru-8-to-13-years-090725503487,naukri.com,2025-06-10,,,,"['Data Analysis', 'Bidding', 'Coding', 'Analytical', 'Data Structures', 'Matlab', 'Analytics', 'Brand Building']",Bengaluru,False,2025-05-20
17,AI / ML Data Scientist I,Nielsen Sports,3.8,Bengaluru,Bangalore,Data Scientist,0-3 Yrs,Not Disclosed,False,"Cloud computing, Operations research, Automation, Primary research, data science, Machine learning, JIRA, Statistics",Document new methodologies and code.Qualifications . 0-3 years work experience . Profic...,6 days ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-ai-ml-data-scientist-i-nielsen-sports-bengaluru-0-to-3-years-030626504161,naukri.com,2025-06-10,,,,"['Cloud Computing', 'Operations Research', 'Automation', 'Primary Research', 'Data Science', 'Machine Learning', 'JIRA', 'Statistics']",Bengaluru,False,2025-06-04
18,Data Scientist,Genpact,3.6,"Hybrid - Hyderabad, Gurugram, Bengaluru",Bangalore,Data Scientist,8-12 Yrs,15-25 Lacs PA,True,"Generative Ai, Machine Learning, Python, Data Science, Natural Language Processing, Languages, Processing, Process",Prior experience in building or fine-tuning LLM applicationsPreferred Qualifications/ S...,1 day ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-data-scientist-genpact-hyderabad-gurugram-bengaluru-8-to-12-years-090626026692,naukri.com,2025-06-10,15.0,25.0,20.0,"['Generative Ai', 'Machine Learning', 'Python', 'Data Science', 'Natural Language Processing', 'Languages', 'Processing', 'Process']",Hyderabad,True,2025-06-09
19,Marketing Data Scientist/Engineer,Wipro,3.6,"Hybrid - Noida, Kolkata, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,Not Disclosed,False,"Insight Generation, Statistical Modeling, Python, Marketing Database, Customer Analytics, R Program, SQL, Modeling",Statistical Modeling Proficient in Bayesian MMM and econometric methods addresses lag e...,4 days ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-marketing-data-scientist-engineer-wipro-noida-kolkata-bengaluru-5-to-10-years-050626025990,naukri.com,2025-06-10,,,,"['Insight Generation', 'Statistical Modeling', 'Python', 'Marketing Database', 'Customer Analytics', 'R Program', 'SQL', 'Modeling']",Noida,True,2025-06-06
20,Data Scientist-Artificial Intelligence,IBM,3.9,Bangalore Rural,Bangalore,Data Scientist,7-9 Yrs,Not Disclosed,False,"kubernetes, scikit-learn, foundation, artificial intelligence, jquery, sql, react.js, tensorflow",Your primary responsibilities will include: Design AI Solutions: Architect and deliver ...,1 day ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-bangalore-rural-7-to-9-years-090626023322,naukri.com,2025-06-10,,,,"['Kubernetes', 'Scikit-Learn', 'Foundation', 'Artificial Intelligence', 'Jquery', 'SQL', 'React.js', 'Tensorflow']",Bengaluru,False,2025-06-09
21,Data Scientist,Alstom,3.7,Bengaluru,Bangalore,Data Scientist,7-12 Yrs,Not Disclosed,False,"data scientist, python, neural networks, ai, numpy, machine learning, artificial intelligence, sql","Instead, weve listed some that we think will help you succeed and grow in this role: . ...",1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-alstom-transport-india-ltd-bengaluru-7-to-12-years-080626934044,naukri.com,2025-06-10,,,,"['Data Scientist', 'Python', 'Neural Networks', 'AI', 'Numpy', 'Machine Learning', 'Artificial Intelligence', 'SQL']",Bengaluru,False,2025-06-09
22,Data Scientist - Gen AI,Fractal Analytics,4.0,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,Not Disclosed,False,"GIT, GCP, Analytical, Software development life cycle, Workflow, Application development, Natural language processing, Open source",Cloud certification is preferred. . Primary Skills: . Natural Language Processing (NLP...,Just now,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-gen-ai-fractal-analytics-ltd-bengaluru-3-to-5-years-100626500245,naukri.com,2025-06-10,,,,"['GIT', 'GCP', 'Analytical', 'Software Development Life Cycle', 'Workflow', 'Application Development', 'Natural Language Processing', 'Open Source']",Bengaluru,False,
23,Data Scientist - Predictive Intelligence (Sensor Fusion & Time Series),Pump Academy,4.1,Bengaluru(Old Airport Road),Bangalore,Data Scientist,8-12 Yrs,Not Disclosed,False,"Agentic Ai, Generative Ai, Time Series, Deep Learning, Signal Processing, Data Engineering, ML Frameworks, IIoT Analytics","We seek exceptional professionals with strong mathematical foundations, robust engineer...",1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-predictive-intelligence-sensor-fusion-time-series-pump-academy-bengaluru-8-to-12-years-090626023287,naukri.com,2025-06-10,,,,"['Agentic Ai', 'Generative Ai', 'Time Series', 'Deep Learning', 'Signal Processing', 'Data Engineering', 'Ml Frameworks', 'Iiot Analytics']",Bengaluru,False,2025-06-09
24,Data Scientist,Ecolab Global Services,3.4,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,Not Disclosed,False,"data scientist, bs, project management, data science, mathematics, research, statistics, Project","Contributes to the exploration, refinement and deployment of data science solutions. . ...",1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-ecolab-global-services-private-limited-bengaluru-3-to-5-years-080626934255,naukri.com,2025-06-10,,,,"['Data Scientist', 'Bs', 'Project Management', 'Data Science', 'Mathematics', 'Research', 'Statistics', 'Project']",Bengaluru,False,2025-06-09
